Query,Parameter,Codigestion,TS,VS,VS_TS,SCOD,CN,N_NH4,Carbs,Protein,Lipid,ISR,CoSR,WorkVol,Temp,pH,HTR,OLR,VFAs
227,2023_ Wu et al.,No,102.6,79.8,78,84240,16.1053,563,32801,11983,17400,3.75,0,0.4,35,6,6,6,12596
228,2023_ Wu et al.,No,102.6,79.8,78,78510,16.2223,644,18013,12571,17400,3.75,0,0.4,35,6,6,6,11188
229,2023_ Wu et al.,No,102.6,79.8,78,91820,16.0465,817,41352,14874,17400,3.75,0,0.4,35,6,6,6,14955
230,2023_Bian et al.,No,72.9,51.06,70,52153.3333,7.2,403.97,7220,20690,10180.9856,13.8041,0,1,37,3.84,6,3.84,9000
231,2023_Bian et al.,No,68.62,46.85,68,50626.6667,5.3,369.9524,6150,17690,7875.0937,13.9875,0,1,37,3.71,6,3.71,9160
232,2023_Bian et al.,No,165.55,121.65,73,65273.3333,11,1432.5345,3510,15970,7125.4986,23.3313,0,1,37,4.2,6,4.2,2400
233,2023_Bian et al.,No,41.67,27.35,66,44840,2,355.7642,2450,14010,4090.9479,13.516,0,1,37,5.19,10,5.19,19390
234,2023_Bian et al.,No,50.47,34.33,68,45066.6667,1.3,377.5376,7220,20690,9385.4437,13.984,0,1,37,5.03,10,5.03,19910
235,2023_Bian et al.,No,167.49,122.73,73,98460,9.6157,1595.0462,6150,17690,8831.6802,21.5913,0,1,37,4.53,10,4.53,1890
236,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,2094.6997,9930,980,2962.9631,60,0,0.4,37,7,2,7,40190
237,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,2094.6997,9930,980,2962.9631,60,0,0.4,37,7,3,7,40190
238,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,2147.5827,9930,980,2970.0431,60,0,0.4,37,7,4,7,40190
239,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,1822.3896,9930,980,2788.4102,60,0,0.4,37,6,2,6,24820
240,2023_Farouk et al.,No,260.8,248.99,95.47,51810,20.16,1822.3896,9930,980,2788.4102,60,0,0.4,37,6,3,6,24820
